Holiday,Date
Boże Ciało,2112-06-16
Wniebowzięcie NMP,2112-08-15
Dzień Wszystkich Świętych,2112-11-01
Narodowe Święto Niepodległości,2112-11-11
Wigilia Bożego Narodzenia,2112-12-24
Boże Narodzenie – pierwszy dzień świąt,2112-12-25
Boże Narodzenie – drugi dzień świąt,2112-12-26
Nowy Rok,2113-01-01
Trzech Króli,2113-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2113-04-02
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2113-04-03
1 Maja – Święto Pracy,2113-05-01
Święto Konstytucji 3 Maja,2113-05-03
Zesłanie Ducha Świętego,2113-05-21
Boże Ciało,2113-06-01
Wniebowzięcie NMP,2113-08-15
Dzień Wszystkich Świętych,2113-11-01
Narodowe Święto Niepodległości,2113-11-11
Wigilia Bożego Narodzenia,2113-12-24
Boże Narodzenie – pierwszy dzień świąt,2113-12-25
Boże Narodzenie – drugi dzień świąt,2113-12-26
Nowy Rok,2114-01-01
Trzech Króli,2114-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2114-04-22
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2114-04-23
1 Maja – Święto Pracy,2114-05-01
Święto Konstytucji 3 Maja,2114-05-03
Zesłanie Ducha Świętego,2114-06-10
Boże Ciało,2114-06-21
Wniebowzięcie NMP,2114-08-15
Dzień Wszystkich Świętych,2114-11-01
Narodowe Święto Niepodległości,2114-11-11
Wigilia Bożego Narodzenia,2114-12-24
Boże Narodzenie – pierwszy dzień świąt,2114-12-25
Boże Narodzenie – drugi dzień świąt,2114-12-26
Nowy Rok,2115-01-01
Trzech Króli,2115-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2115-04-14
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2115-04-15
1 Maja – Święto Pracy,2115-05-01
Święto Konstytucji 3 Maja,2115-05-03
Zesłanie Ducha Świętego,2115-06-02
Boże Ciało,2115-06-13
Wniebowzięcie NMP,2115-08-15
Dzień Wszystkich Świętych,2115-11-01
Narodowe Święto Niepodległości,2115-11-11
Wigilia Bożego Narodzenia,2115-12-24
Boże Narodzenie – pierwszy dzień świąt,2115-12-25
Boże Narodzenie – drugi dzień świąt,2115-12-26
Nowy Rok,2116-01-01
Trzech Króli,2116-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2116-03-29
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2116-03-30
1 Maja – Święto Pracy,2116-05-01
Święto Konstytucji 3 Maja,2116-05-03
Zesłanie Ducha Świętego,2116-05-17
Boże Ciało,2116-05-28
Wniebowzięcie NMP,2116-08-15
Dzień Wszystkich Świętych,2116-11-01
Narodowe Święto Niepodległości,2116-11-11
Wigilia Bożego Narodzenia,2116-12-24
Boże Narodzenie – pierwszy dzień świąt,2116-12-25
Boże Narodzenie – drugi dzień świąt,2116-12-26
Nowy Rok,2117-01-01
Trzech Króli,2117-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2117-04-18
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2117-04-19
1 Maja – Święto Pracy,2117-05-01
Święto Konstytucji 3 Maja,2117-05-03
Zesłanie Ducha Świętego,2117-06-06
Boże Ciało,2117-06-17
Wniebowzięcie NMP,2117-08-15
Dzień Wszystkich Świętych,2117-11-01
Narodowe Święto Niepodległości,2117-11-11
Wigilia Bożego Narodzenia,2117-12-24
Boże Narodzenie – pierwszy dzień świąt,2117-12-25
Boże Narodzenie – drugi dzień świąt,2117-12-26
Nowy Rok,2118-01-01
Trzech Króli,2118-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2118-04-10
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2118-04-11
1 Maja – Święto Pracy,2118-05-01
Święto Konstytucji 3 Maja,2118-05-03
Zesłanie Ducha Świętego,2118-05-29
Boże Ciało,2118-06-09
Wniebowzięcie NMP,2118-08-15
Dzień Wszystkich Świętych,2118-11-01
Narodowe Święto Niepodległości,2118-11-11
Wigilia Bożego Narodzenia,2118-12-24
Boże Narodzenie – pierwszy dzień świąt,2118-12-25
Boże Narodzenie – drugi dzień świąt,2118-12-26
Nowy Rok,2119-01-01
Trzech Króli,2119-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2119-03-26
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2119-03-27
1 Maja – Święto Pracy,2119-05-01
Święto Konstytucji 3 Maja,2119-05-03
Zesłanie Ducha Świętego,2119-05-14
Boże Ciało,2119-05-25
Wniebowzięcie NMP,2119-08-15
Dzień Wszystkich Świętych,2119-11-01
Narodowe Święto Niepodległości,2119-11-11
Wigilia Bożego Narodzenia,2119-12-24
Boże Narodzenie – pierwszy dzień świąt,2119-12-25
Boże Narodzenie – drugi dzień świąt,2119-12-26
Nowy Rok,2120-01-01
Trzech Króli,2120-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2120-04-14
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2120-04-15
1 Maja – Święto Pracy,2120-05-01
Święto Konstytucji 3 Maja,2120-05-03
Zesłanie Ducha Świętego,2120-06-02
Boże Ciało,2120-06-13
Wniebowzięcie NMP,2120-08-15
Dzień Wszystkich Świętych,2120-11-01
Narodowe Święto Niepodległości,2120-11-11
Wigilia Bożego Narodzenia,2120-12-24
Boże Narodzenie – pierwszy dzień świąt,2120-12-25
Boże Narodzenie – drugi dzień świąt,2120-12-26
Nowy Rok,2121-01-01
Trzech Króli,2121-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2121-04-06
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2121-04-07
1 Maja – Święto Pracy,2121-05-01
Święto Konstytucji 3 Maja,2121-05-03
Zesłanie Ducha Świętego,2121-05-25
Boże Ciało,2121-06-05
Wniebowzięcie NMP,2121-08-15
Dzień Wszystkich Świętych,2121-11-01
Narodowe Święto Niepodległości,2121-11-11
Wigilia Bożego Narodzenia,2121-12-24
Boże Narodzenie – pierwszy dzień świąt,2121-12-25
Boże Narodzenie – drugi dzień świąt,2121-12-26
Nowy Rok,2122-01-01
Trzech Króli,2122-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2122-03-29
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2122-03-30
1 Maja – Święto Pracy,2122-05-01
Święto Konstytucji 3 Maja,2122-05-03
Zesłanie Ducha Świętego,2122-05-17
Boże Ciało,2122-05-28
Wniebowzięcie NMP,2122-08-15
Dzień Wszystkich Świętych,2122-11-01
Narodowe Święto Niepodległości,2122-11-11
Wigilia Bożego Narodzenia,2122-12-24
Boże Narodzenie – pierwszy dzień świąt,2122-12-25
Boże Narodzenie – drugi dzień świąt,2122-12-26
Nowy Rok,2123-01-01
Trzech Króli,2123-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2123-04-11
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2123-04-12
1 Maja – Święto Pracy,2123-05-01
Święto Konstytucji 3 Maja,2123-05-03
Zesłanie Ducha Świętego,2123-05-30
Boże Ciało,2123-06-10
Wniebowzięcie NMP,2123-08-15
Dzień Wszystkich Świętych,2123-11-01
Narodowe Święto Niepodległości,2123-11-11
Wigilia Bożego Narodzenia,2123-12-24
Boże Narodzenie – pierwszy dzień świąt,2123-12-25
Boże Narodzenie – drugi dzień świąt,2123-12-26
Nowy Rok,2124-01-01
Trzech Króli,2124-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2124-04-02
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2124-04-03
1 Maja – Święto Pracy,2124-05-01
Święto Konstytucji 3 Maja,2124-05-03
Zesłanie Ducha Świętego,2124-05-21
Boże Ciało,2124-06-01
Wniebowzięcie NMP,2124-08-15
Dzień Wszystkich Świętych,2124-11-01
Narodowe Święto Niepodległości,2124-11-11
Wigilia Bożego Narodzenia,2124-12-24
Boże Narodzenie – pierwszy dzień świąt,2124-12-25
Boże Narodzenie – drugi dzień świąt,2124-12-26
Nowy Rok,2125-01-01
Trzech Króli,2125-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2125-04-22
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2125-04-23
1 Maja – Święto Pracy,2125-05-01
Święto Konstytucji 3 Maja,2125-05-03
Zesłanie Ducha Świętego,2125-06-10
Boże Ciało,2125-06-21
Wniebowzięcie NMP,2125-08-15
Dzień Wszystkich Świętych,2125-11-01
Narodowe Święto Niepodległości,2125-11-11
Wigilia Bożego Narodzenia,2125-12-24
Boże Narodzenie – pierwszy dzień świąt,2125-12-25
Boże Narodzenie – drugi dzień świąt,2125-12-26
Nowy Rok,2126-01-01
Trzech Króli,2126-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2126-04-14
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2126-04-15
1 Maja – Święto Pracy,2126-05-01
Święto Konstytucji 3 Maja,2126-05-03
Zesłanie Ducha Świętego,2126-06-02
Boże Ciało,2126-06-13
Wniebowzięcie NMP,2126-08-15
Dzień Wszystkich Świętych,2126-11-01
Narodowe Święto Niepodległości,2126-11-11
Wigilia Bożego Narodzenia,2126-12-24
Boże Narodzenie – pierwszy dzień świąt,2126-12-25
Boże Narodzenie – drugi dzień świąt,2126-12-26
