Holiday,Date
Boże Narodzenie – pierwszy dzień świąt,2041-12-25
Boże Narodzenie – drugi dzień świąt,2041-12-26
Nowy Rok,2042-01-01
Trzech Króli,2042-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2042-04-06
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2042-04-07
1 Maja – Święto Pracy,2042-05-01
Święto Konstytucji 3 Maja,2042-05-03
Zesłanie Ducha Świętego,2042-05-25
Boże Ciało,2042-06-05
Wniebowzięcie NMP,2042-08-15
Dzień Wszystkich Świętych,2042-11-01
Narodowe Święto Niepodległości,2042-11-11
Wigilia Bożego Narodzenia,2042-12-24
Boże Narodzenie – pierwszy dzień świąt,2042-12-25
Boże Narodzenie – drugi dzień świąt,2042-12-26
Nowy Rok,2043-01-01
Trzech Króli,2043-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2043-03-29
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2043-03-30
1 Maja – Święto Pracy,2043-05-01
Święto Konstytucji 3 Maja,2043-05-03
Zesłanie Ducha Świętego,2043-05-17
Boże Ciało,2043-05-28
Wniebowzięcie NMP,2043-08-15
Dzień Wszystkich Świętych,2043-11-01
Narodowe Święto Niepodległości,2043-11-11
Wigilia Bożego Narodzenia,2043-12-24
Boże Narodzenie – pierwszy dzień świąt,2043-12-25
Boże Narodzenie – drugi dzień świąt,2043-12-26
Nowy Rok,2044-01-01
Trzech Króli,2044-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2044-04-17
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2044-04-18
1 Maja – Święto Pracy,2044-05-01
Święto Konstytucji 3 Maja,2044-05-03
Zesłanie Ducha Świętego,2044-06-05
Boże Ciało,2044-06-16
Wniebowzięcie NMP,2044-08-15
Dzień Wszystkich Świętych,2044-11-01
Narodowe Święto Niepodległości,2044-11-11
Wigilia Bożego Narodzenia,2044-12-24
Boże Narodzenie – pierwszy dzień świąt,2044-12-25
Boże Narodzenie – drugi dzień świąt,2044-12-26
Nowy Rok,2045-01-01
Trzech Króli,2045-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2045-04-09
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2045-04-10
1 Maja – Święto Pracy,2045-05-01
Święto Konstytucji 3 Maja,2045-05-03
Zesłanie Ducha Świętego,2045-05-28
Boże Ciało,2045-06-08
Wniebowzięcie NMP,2045-08-15
Dzień Wszystkich Świętych,2045-11-01
Narodowe Święto Niepodległości,2045-11-11
Wigilia Bożego Narodzenia,2045-12-24
Boże Narodzenie – pierwszy dzień świąt,2045-12-25
Boże Narodzenie – drugi dzień świąt,2045-12-26
Nowy Rok,2046-01-01
Trzech Króli,2046-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2046-03-25
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2046-03-26
1 Maja – Święto Pracy,2046-05-01
Święto Konstytucji 3 Maja,2046-05-03
Zesłanie Ducha Świętego,2046-05-13
Boże Ciało,2046-05-24
Wniebowzięcie NMP,2046-08-15
Dzień Wszystkich Świętych,2046-11-01
Narodowe Święto Niepodległości,2046-11-11
Wigilia Bożego Narodzenia,2046-12-24
Boże Narodzenie – pierwszy dzień świąt,2046-12-25
Boże Narodzenie – drugi dzień świąt,2046-12-26
Nowy Rok,2047-01-01
Trzech Króli,2047-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2047-04-14
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2047-04-15
1 Maja – Święto Pracy,2047-05-01
Święto Konstytucji 3 Maja,2047-05-03
Zesłanie Ducha Świętego,2047-06-02
Boże Ciało,2047-06-13
Wniebowzięcie NMP,2047-08-15
Dzień Wszystkich Świętych,2047-11-01
Narodowe Święto Niepodległości,2047-11-11
Wigilia Bożego Narodzenia,2047-12-24
Boże Narodzenie – pierwszy dzień świąt,2047-12-25
Boże Narodzenie – drugi dzień świąt,2047-12-26
Nowy Rok,2048-01-01
Trzech Króli,2048-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2048-04-05
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2048-04-06
1 Maja – Święto Pracy,2048-05-01
Święto Konstytucji 3 Maja,2048-05-03
Zesłanie Ducha Świętego,2048-05-24
Boże Ciało,2048-06-04
Wniebowzięcie NMP,2048-08-15
Dzień Wszystkich Świętych,2048-11-01
Narodowe Święto Niepodległości,2048-11-11
Wigilia Bożego Narodzenia,2048-12-24
Boże Narodzenie – pierwszy dzień świąt,2048-12-25
Boże Narodzenie – drugi dzień świąt,2048-12-26
Nowy Rok,2049-01-01
Trzech Króli,2049-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2049-04-18
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2049-04-19
1 Maja – Święto Pracy,2049-05-01
Święto Konstytucji 3 Maja,2049-05-03
Zesłanie Ducha Świętego,2049-06-06
Boże Ciało,2049-06-17
Wniebowzięcie NMP,2049-08-15
Dzień Wszystkich Świętych,2049-11-01
Narodowe Święto Niepodległości,2049-11-11
Wigilia Bożego Narodzenia,2049-12-24
Boże Narodzenie – pierwszy dzień świąt,2049-12-25
Boże Narodzenie – drugi dzień świąt,2049-12-26
Nowy Rok,2050-01-01
Trzech Króli,2050-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2050-04-10
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2050-04-11
1 Maja – Święto Pracy,2050-05-01
Święto Konstytucji 3 Maja,2050-05-03
Zesłanie Ducha Świętego,2050-05-29
Boże Ciało,2050-06-09
Wniebowzięcie NMP,2050-08-15
Dzień Wszystkich Świętych,2050-11-01
Narodowe Święto Niepodległości,2050-11-11
Wigilia Bożego Narodzenia,2050-12-24
Boże Narodzenie – pierwszy dzień świąt,2050-12-25
Boże Narodzenie – drugi dzień świąt,2050-12-26
Nowy Rok,2051-01-01
Trzech Króli,2051-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2051-04-02
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2051-04-03
1 Maja – Święto Pracy,2051-05-01
Święto Konstytucji 3 Maja,2051-05-03
Zesłanie Ducha Świętego,2051-05-21
Boże Ciało,2051-06-01
